category_id,number_of_products,number_price_changes,mean_price_change,mean_abs_change,mean_inv_change,std_price_change,skewness,alpha_with22,alpha_with22_ste,alpha_with31,alpha_with31_ste,g11,g11_ste,g21,g21_ste,g22,g22_ste,g31,g31_ste,g32,g32_ste,M1,M2,M3,M4,underlying12_kurt,underlying12_kurt_ste,pooled_kurt,pooled_kurt_ste,corr12,coefvar1,coefvar2,coefvar,implied_corr,mean_duration,ste_duration,alpha1,alpha2,ratio_betas,weight_on1,C_pooled,C
111,3439,75144,0.002,0.282,7.531,0.341,-0.121,4.242,0.159,4.228,0.159,1.248,0.008,1.406,0.023,1.656,0.073,1.507,0.053,1.787,0.143,4.039,4.926,5.921,6.39,1.426,0.061,3.418,0.164,0.571,1.49,1.464,1.555,0.44,26.53,43.829,2.099,12.19,228.677,0.161,0.072,0.063
119,3228,56898,0.002,0.258,8.657,0.328,0.011,3.753,0.11,3.726,0.108,1.282,0.007,1.507,0.017,1.955,0.05,1.702,0.032,2.381,0.1,3.547,3.948,4.272,4.522,1.288,0.041,3.831,0.098,0.679,1.503,1.459,1.683,0.339,36.087,53.165,1.058,6.021,91.439,0.109,0.097,0.069
1212,2551,30361,-0.001,0.198,8.543,0.245,-0.02,4.15,0.257,4.126,0.254,1.242,0.012,1.476,0.042,2.052,0.168,1.786,0.113,2.93,0.45,4.137,4.206,3.815,4.129,1.71,0.182,3.524,0.278,0.404,1.494,1.529,1.589,0.284,43.575,59.129,0.599,3.873,73.414,0.0,0.071,0.061
122,1405,27563,0.002,0.281,8.166,0.342,-0.025,4.456,0.166,4.442,0.167,1.243,0.008,1.397,0.018,1.677,0.05,1.508,0.036,1.903,0.099,4.108,5.032,5.904,6.094,1.189,0.02,2.956,0.09,0.751,1.346,1.296,1.398,0.39,28.897,52.839,1.848,9.779,173.048,0.131,0.1,0.073
118,1390,30492,0.003,0.258,8.84,0.308,-0.012,3.608,0.215,3.566,0.219,1.289,0.014,1.539,0.04,2.044,0.114,1.777,0.086,2.552,0.224,3.456,3.712,3.861,4.208,1.663,0.148,3.624,0.226,0.478,1.819,1.626,1.62,0.295,26.82,43.32,3.123,9.836,0.628,0.58,0.062,0.057
117,1154,21123,0.007,0.249,7.966,0.309,-0.004,3.799,0.128,3.764,0.127,1.281,0.008,1.511,0.019,1.989,0.049,1.721,0.033,2.484,0.092,3.565,3.917,4.162,4.375,1.422,0.09,3.487,0.14,0.58,1.499,1.556,1.577,0.303,35.456,60.738,0.967,5.442,84.154,0.089,0.085,0.064
561,1032,17782,0.002,0.214,8.201,0.26,-0.006,4.781,0.386,4.756,0.387,1.216,0.014,1.394,0.041,1.778,0.133,1.586,0.095,2.271,0.314,4.62,5.075,5.117,5.436,1.403,0.066,3.324,0.225,0.573,1.5,1.357,1.524,0.374,32.054,49.255,0.998,5.783,103.47,0.031,0.054,0.043
